127.0.0.1 - - [31/Aug/2023:09:03:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:41 +0900] "GET /BoardListForm.bo HTTP/1.1" 500 3603
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /main.jsp HTTP/1.1" 200 12942
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /css/navbar-top-fixed.css HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /css/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /css/templatemo-topic-listing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /js/jquery-3.5.1.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /docs/5.1/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [31/Aug/2023:09:03:50 +0900] "GET /fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 404 837
